 He  "Helium Atom He" % [#2] % 1       
 H   "Hydrogen Sulfide H2S" % [#16](-[H])-[H] % 2
 S   "Methyl Sulfide S" % [#16](-[#6](-[H])(-[H])-[H])-[H] % 1 
 H   "Methyl Sulfide HS" % [#16](-[#6](-[H])(-[H])-[H])-[H] % 6 
 C   "Methyl Sulfide CH3" % [#16](-[#6](-[H])(-[H])-[H])-[H] % 2    
 H   "Methyl Sulfide H3C" % [#16](-[#6](-[H])(-[H])-[H])-[H] % 3  
 S   "Dimethyl Sulfide S" % [#16](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 1    
 C   "Dimethyl Sulfide CH3" % [#16](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 2   
 H   "Dimethyl Sulfide H3C" % [#16](-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 3  
 S   "Dimethyl Disulfide S" % [#16](-[#16]-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 1  
 C   "Dimethyl Disulfide CH3" % [#16](-[#16]-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 7 
 H   "Dimethyl Disulfide H3C" % [#16](-[#16]-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 9 
 S   "Ethyl Sulfide S" % [H]-[#16]-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 2       
 H   "Ethyl Sulfide HS" % [H]-[#16]-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 1      
 C   "Ethyl Sulfide CH2" % [H]-[#16]-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 3    
 H   "Ethyl Sulfide H2C" % [H]-[#16]-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 9     
 C   "Ethyl Sulfide CH3" % [H]-[#16]-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 4     
 H   "Ethyl Sulfide H3C" % [H]-[#16]-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H] % 6    
 S   "MeEt Sulfide S" % [#16](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 1        
 C   "MeEt Sulfide CH3-S" % [#16](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 9   
 H   "MeEt Sulfide H3C-S" % [#16](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 12    
 C   "MeEt Sulfide CH2-S" % [#16](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 2  
 H   "MeEt Sulfide CH2-S" % [#16](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 7    
 C   "MeEt Sulfide CH3-C" % [#16](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 3    
 H   "MeEt Sulfide H3C-C" % [#16](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 6    
 S   "Dimethyl Sulfoxide S=O" % [#16](=[#8])(-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 1 
 O   "Dimethyl Sulfoxide S=O" % [#16](=[#8])(-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 2 
 C   "Dimethyl Sulfoxide CH3" % [#16](=[#8])(-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 3 
 H   "Dimethyl Sulfoxide H3C" % [#16](=[#8])(-[#6](-[H])(-[H])-[H])-[#6](-[H])(-[H])-[H] % 10 
 S   "Methyl Sulfonate SO3-" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[H])(-[H])-[H] % 1 
 O   "Methyl Sulfonate SO3-" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[H])(-[H])-[H] % 2 3 4 
 C   "Methyl Sulfonate CH3" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[H])(-[H])-[H] % 5  
 H   "Methyl Sulfonate H3C" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[H])(-[H])-[H] % 7
 S   "Ethyl Sulfonate SO3-" % [H]-[#6](-[#6](-[H])(-[H])-[#16](-[#8-])(=[#8])=[#8])(-[H])-[H] % 6
 O   "Ethyl Sulfonate SO3-" % [H]-[#6](-[#6](-[H])(-[H])-[#16](-[#8-])(=[#8])=[#8])(-[H])-[H] % 7 8 9
 C   "Ethyl Sulfonate CH2" % [H]-[#6](-[#6](-[H])(-[H])-[#16](-[#8-])(=[#8])=[#8])(-[H])-[H] % 3
 H   "Ethyl Sulfonate H2C" % [H]-[#6](-[#6](-[H])(-[H])-[#16](-[#8-])(=[#8])=[#8])(-[H])-[H] % 4
 C   "Ethyl Sulfonate CH3" % [H]-[#6](-[#6](-[H])(-[H])-[#16](-[#8-])(=[#8])=[#8])(-[H])-[H] % 2
 H   "Ethyl Sulfonate H3C" % [H]-[#6](-[#6](-[H])(-[H])-[#16](-[#8-])(=[#8])=[#8])(-[H])-[H] % 1
 C   "Propyl Sulfonate CH3" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 7
 H   "Propyl Sulfonate H3C" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 10
 C   "Propyl Sulfonate Me-CH2" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 6 
 H   "Propyl Sulfonate Me-CH2" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 12
 C   "Ethyl Sulfonate CH2" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 5 
 H   "Ethyl Sulfonate H2C" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 13
 S   "Ethyl Sulfonate SO3-" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 1
 O  "Ethyl Sulfonate SO3-" % [#16](-[#8-])(=[#8])(=[#8])-[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H])(-[H])-[H] % 2 3 4
 C   "Acetonitrile CN" % [#7]#[#6]-[#6](-[H])(-[H])-[H] % 2       
 N   "Acetonitrile CN" % [#7]#[#6]-[#6](-[H])(-[H])-[H] % 1       
 C   "Acetonitrile CH3" % [#7]#[#6]-[#6](-[H])(-[H])-[H] % 3    
 H   "Acetonitrile H3C" % [#7]#[#6]-[#6](-[H])(-[H])-[H] % 4      
 C   "Tricyanomethide CN" % [#7-]=[#6]=[#6](-[#6]#[#7])-[#6]#[#7] % 6    
 N   "Tricyanomethide CN" % [#7-]=[#6]=[#6](-[#6]#[#7])-[#6]#[#7] % 7    
 C   "Tricyanomethide >C-" % [#7-]=[#6]=[#6](-[#6]#[#7])-[#6]#[#7] % 3  
 C   "Benzene C" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 3            
 H   "Benzene HC" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 10             
 C   "Ethylbenzene C1-CH2" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 2    
 C   "Ethylbenzene C2" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 7       
 C   "Ethylbenzene C3" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 6       
 C   "Ethylbenzene C4" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 5       
 H   "Ethylbenzene H2" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 8    
 H   "Ethylbenzene H3" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 9       
 H   "Ethylbenzene H4" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 10       
 C   "Ethylbenzene CH2" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 1     
 H   "Ethylbenzene H2C" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 17      
 C   "Ethylbenzene CH3" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 13      
 H   "Ethylbenzene H3C" % [#6](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])(-[#6](-[H])(-[H])-[H])(-[H])-[H] % 15       
 O   "Phenol OH" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 1             
 H   "Phenol HO" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 13             
 C   "Phenol C1-OH" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 2          
 C   "Phenol C2" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 7             
 C   "Phenol C3" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 6            
 C   "Phenol C4" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 5             
 H   "Phenol H2" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 8             
 H   "Phenol H3" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 9             
 H   "Phenol H4" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[H] % 10            
 C   "Toluene CH3" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 12           
 H   "Toluene H3C" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 13         
 C   "Toluene C1-CH3" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 1       
 C   "Toluene C2" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 6           
 C   "Toluene C3" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 5            
 C   "Toluene C4" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 4          
 H   "Toluene H2" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 11          
 H   "Toluene H3" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 10            
 H   "Toluene H4" % [#6]1(:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[H])-[H])-[H])-[#6](-[H])(-[H])-[H] % 9            
 O   "p-Cresol OH" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 1       
 H   "p-Cresol HO" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 16            
 C   "p-Cresol CH3" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 10           
 H   "p-Cresol H3C" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 12       
 C   "p-Cresol C1-CH3" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 5  
 C   "p-Cresol C2" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 6           
 C   "p-Cresol C3" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 7            
 C   "p-Cresol C4-OH" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 2         
 H   "p-Cresol H2" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 9            
 H   "p-Cresol H3" % [#8](-[#6]1:[#6](:[#6](:[#6](:[#6](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[H])-[H])-[H])-[H] % 8           
 N   "Imidazole NH" % [#7]1(:[#6](:[#6](:[#7]:[#6]:1-[H])-[H])-[H])-[H] % 1          
 H   "Imidazole HN" % [#7]1(:[#6](:[#6](:[#7]:[#6]:1-[H])-[H])-[H])-[H] % 9          
 C   "Imidazole N-C-N" % [#7]1(:[#6](:[#6](:[#7]:[#6]:1-[H])-[H])-[H])-[H] % 5       
 H   "Imidazole HC" % [#7]1(:[#6](:[#6](:[#7]:[#6]:1-[H])-[H])-[H])-[H] % 6        
 N   "Imidazole N=C-" % [#7]1(:[#6](:[#6](:[#7]:[#6]:1-[H])-[H])-[H])-[H] % 4        
 C   "Imidazole C-N=C" % [#7]1(:[#6](:[#6](:[#7]:[#6]:1-[H])-[H])-[H])-[H] % 3        
 H   "Imidazole HC" % [#7]1(:[#6](:[#6](:[#7]:[#6]:1-[H])-[H])-[H])-[H] % 7         
 C   "Imidazole C-NH-" % [#7]1(:[#6](:[#6](:[#7]:[#6]:1-[H])-[H])-[H])-[H] % 2      
 H   "Imidazole HC" % [#7]1(:[#6](:[#6](:[#7]:[#6]:1-[H])-[H])-[H])-[H] % 8          
 C   "4-Ethylimidazole CH2" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 9 
 H   "4-Ethylimidazole H2C" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 11 
 C   "4-Ethylimidazole CH3" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 12 
 H   "4-Ethylimidazole H3C" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 14  
 N   "4-Ethylimidazole ND"  % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 5 
 H   "4-Ethylimidazole HND" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 8 
 C   "4-Ethylimidazole CE"  % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 6 
 H   "4-Ethylimidazole HCE" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 7 
 N   "4-Ethylimidazole NE" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 2 
 H   "4-Ethylimidazole HNE" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 1  
 C   "4-Ethylimidazole CD" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 3  
 H   "4-Ethylimidazole HCD" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 16  
 C   "4-Ethylimidazole CG" % [H]-[#7+]1:[#6](:[#6](:[#7](:[#6]:1-[H])-[H])-[#6](-[H])(-[H])-[#6](-[H])(-[H])-[H])-[H] % 4   
 C   "4-Ethylimidazole CH2" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 2 
 H   "4-Ethylimidazole H2C" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 3 
 C   "4-Ethylimidazole CH3" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 4 
 H   "4-Ethylimidazole H3C" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 5 
 N   "4-Ethylimidazole ND"  % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 9 
 H   "4-Ethylimidazole HND" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 15 
 C   "4-Ethylimidazole CE"  % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 10
 H   "4-Ethylimidazole HCE" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 14 
 N   "4-Ethylimidazole NE" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 11 
 C   "4-Ethylimidazole CD" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 12 
 H   "4-Ethylimidazole HCD" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 13 
 C   "4-Ethylimidazole CG" % [H]-[#6](-[H])(-[#6](-[H])(-[H])-[H])-[#6]1:[#7](:[#6](:[#7]:[#6]:1-[H])-[H])-[H] % 8 
 N   "Indole N" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 1              
 H   "Indole HN" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 16             
 C   "Indole C2" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 5             
 C   "Indole C3" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 4         
 C   "Indole C4" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 8            
 C   "Indole C5" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 9             
 C   "Indole C6" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 10             
 C   "Indole C7" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 11             
 C   "Indole C3a" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 3            
 C   "Indole C7a" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 2           
 H   "Indole HC2" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 6            
 H   "Indole HC3" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 7             
 H   "Indole HC4" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 15            
 H   "Indole HC5" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 14           
 H   "Indole HC6" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 13            
 H   "Indole HC7" % [#7]1(:[#6]2:[#6](:[#6](:[#6]:1-[H])-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 12          
 N   "3-Ethylindole N" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 1
 H   "3-Ethylindole HN" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 22       
 C   "3-Ethylindole C2" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 12      
 C   "3-Ethylindole C3" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 4    
 C   "3-Ethylindole C4" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 14       
 C   "3-Ethylindole C5" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 15     
 C   "3-Ethylindole C6" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 16       
 C   "3-Ethylindole C7" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 17      
 C   "3-Ethylindole C3a" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 3     
 C   "3-Ethylindole C7a" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 2    
 H   "3-Ethylindole HC2" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 13     
 H   "3-Ethylindole HC4" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 21     
 H   "3-Ethylindole HC5" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 20    
 H   "3-Ethylindole HC6" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 19      
 H   "3-Ethylindole HC7" % [#7]1(:[#6]2:[#6](:[#6](-[#6](-[#6](-[H])(-[H])-[H])(-[H])-[H]):[#6]:1-[H]):[#6](:[#6](:[#6](:[#6]:2-[H])-[H])-[H])-[H])-[H] % 18     
